filename,d,o,rx,ry,rz,left,right
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,740.91,50,-78.3,0.65,0,Yaroslav the Wise_8001-alley-of-rulers-moscow_d740p91_left.PNG,Yaroslav the Wise_8001-alley-of-rulers-moscow_d740p91_right.PNG
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,681.97,50,-78.3,0.65,0,Yaroslav the Wise_8001-alley-of-rulers-moscow_d681p97_left.PNG,Yaroslav the Wise_8001-alley-of-rulers-moscow_d681p97_right.PNG
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,486.57,50,-78.3,0.65,0,Yaroslav the Wise_8001-alley-of-rulers-moscow_d486p57_left.PNG,Yaroslav the Wise_8001-alley-of-rulers-moscow_d486p57_right.PNG
Yaroslav the Wise_8001-alley-of-rulers-moscow.stl,560.74,50,-78.3,0.65,0,Yaroslav the Wise_8001-alley-of-rulers-moscow_d560p74_left.PNG,Yaroslav the Wise_8001-alley-of-rulers-moscow_d560p74_right.PNG
Youth_model-9006.stl,92.75,50,-79.21,-2.88,0,Youth_model-9006_d92p75_left.PNG,Youth_model-9006_d92p75_right.PNG
Youth_model-9006.stl,95.44,50,-79.21,-2.88,0,Youth_model-9006_d95p44_left.PNG,Youth_model-9006_d95p44_right.PNG
Youth_model-9006.stl,217.46,50,-79.21,-2.88,0,Youth_model-9006_d217p46_left.PNG,Youth_model-9006_d217p46_right.PNG
Youth_model-9006.stl,95.43,50,-79.21,-2.88,0,Youth_model-9006_d95p43_left.PNG,Youth_model-9006_d95p43_right.PNG
Youth_model-9006.stl,107.48,50,-79.21,-2.88,0,Youth_model-9006_d107p48_left.PNG,Youth_model-9006_d107p48_right.PNG
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,196.04,50,-90.28,-5.98,0,Yuri the Long Hands_8003-alley-of-rulers-moscow_d196p04_left.PNG,Yuri the Long Hands_8003-alley-of-rulers-moscow_d196p04_right.PNG
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,301.05,50,-90.28,-5.98,0,Yuri the Long Hands_8003-alley-of-rulers-moscow_d301p05_left.PNG,Yuri the Long Hands_8003-alley-of-rulers-moscow_d301p05_right.PNG
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,139.73,50,-90.28,-5.98,0,Yuri the Long Hands_8003-alley-of-rulers-moscow_d139p73_left.PNG,Yuri the Long Hands_8003-alley-of-rulers-moscow_d139p73_right.PNG
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,309.90,50,-90.28,-5.98,0,Yuri the Long Hands_8003-alley-of-rulers-moscow_d309p90_left.PNG,Yuri the Long Hands_8003-alley-of-rulers-moscow_d309p90_right.PNG
Yuri the Long Hands_8003-alley-of-rulers-moscow.stl,235.36,50,-90.28,-5.98,0,Yuri the Long Hands_8003-alley-of-rulers-moscow_d235p36_left.PNG,Yuri the Long Hands_8003-alley-of-rulers-moscow_d235p36_right.PNG
piantafanculo_mano.stl,77.21,50,-76.78,4.95,0,piantafanculo_mano_d77p21_left.PNG,piantafanculo_mano_d77p21_right.PNG
piantafanculo_mano.stl,73.36,50,-76.78,4.95,0,piantafanculo_mano_d73p36_left.PNG,piantafanculo_mano_d73p36_right.PNG
piantafanculo_mano.stl,211.23,50,-76.78,4.95,0,piantafanculo_mano_d211p23_left.PNG,piantafanculo_mano_d211p23_right.PNG
piantafanculo_mano.stl,74.31,50,-76.78,4.95,0,piantafanculo_mano_d74p31_left.PNG,piantafanculo_mano_d74p31_right.PNG
piantafanculo_mano.stl,202.82,50,-76.78,4.95,0,piantafanculo_mano_d202p82_left.PNG,piantafanculo_mano_d202p82_right.PNG
